[160, 'ENSMUSG00000103495.1']
[161, 'ENSMUSG00000099183.1']
[162, 'ENSMUSG00000102639.1']
[163, 'ENSMUSG00000104170.1']
[164, 'ENSMUSG00000087782.1']
[165, 'ENSMUSG00000103085.1']
[166, 'ENSMUSG00000102664.1']
[167, 'ENSMUSG00000101476.1']
[168, 'ENSMUSG00000101171.1']
[169, 'ENSMUSG00000025935.6']
[170, 'ENSMUSG00000025937.6']
[171, 'ENSMUSG00000102982.1']
[172, 'ENSMUSG00000067813.3']
[173, 'ENSMUSG00000077368.1']
[174, 'ENSMUSG00000097711.1']
[175, 'ENSMUSG00000102166.1']
[176, 'ENSMUSG00000089358.1']
[177, 'ENSMUSG00000104209.1']
[178, 'ENSMUSG00000025932.10']
[179, 'ENSMUSG00000095853.1']
[180, 'ENSMUSG00000102588.1']
[181, 'ENSMUSG00000054493.2']
[182, 'ENSMUSG00000025930.6']
[183, 'ENSMUSG00000103492.1']
[184, 'ENSMUSG00000081201.1']
[185, 'ENSMUSG00000082193.1']
[186, 'ENSMUSG00000032769.4']
[187, 'ENSMUSG00000088159.1']
[188, 'ENSMUSG00000073737.3']
[189, 'ENSMUSG00000092083.4']
[190, 'ENSMUSG00000102937.1']
[191, 'ENSMUSG00000104149.1']
[192, 'ENSMUSG00000088829.1']
[193, 'ENSMUSG00000077377.1']
[194, 'ENSMUSG00000101652.1']
[195, 'ENSMUSG00000100814.1']
[196, 'ENSMUSG00000025925.10']
[197, 'ENSMUSG00000104379.1']
[198, 'ENSMUSG00000032719.4']
[199, 'ENSMUSG00000088943.1']
[200, 'ENSMUSG00000100652.1']
[201, 'ENSMUSG00000067795.9']
[202, 'ENSMUSG00000043716.9']
[203, 'ENSMUSG00000025921.7']
[204, 'ENSMUSG00000104165.1']
[205, 'ENSMUSG00000100868.1']
[206, 'ENSMUSG00000025920.15']
[207, 'ENSMUSG00000089982.3']
[208, 'ENSMUSG00000025939.13']
[209, 'ENSMUSG00000102457.1']
[210, 'ENSMUSG00000079658.5']
[211, 'ENSMUSG00000097744.1']
[212, 'ENSMUSG00000100959.1']
[213, 'ENSMUSG00000025940.6']
[214, 'ENSMUSG00000025779.6']
[215, 'ENSMUSG00000100093.1']
[216, 'ENSMUSG00000091020.3']
[217, 'ENSMUSG00000101640.1']
[218, 'ENSMUSG00000104133.1']
[219, 'ENSMUSG00000042686.5']
[220, 'ENSMUSG00000100110.1']
[221, 'ENSMUSG00000025777.8']
[222, 'ENSMUSG00000099899.1']
[223, 'ENSMUSG00000100272.1']
[224, 'ENSMUSG00000100398.1']
[225, 'ENSMUSG00000101589.1']
[226, 'ENSMUSG00000102048.1']
[227, 'ENSMUSG00000089534.1']
[228, 'ENSMUSG00000067780.3']
[229, 'ENSMUSG00000100053.1']
[230, 'ENSMUSG00000085125.3']
[231, 'ENSMUSG00000025776.9']
[232, 'ENSMUSG00000099895.1']
[233, 'ENSMUSG00000100554.1']
[234, 'ENSMUSG00000099473.1']
[235, 'ENSMUSG00000099591.1']
[236, 'ENSMUSG00000102001.1']
[237, 'ENSMUSG00000101717.1']
[238, 'ENSMUSG00000025774.10']
[239, 'ENSMUSG00000070977.4']
[240, 'ENSMUSG00000073735.1']
[241, 'ENSMUSG00000067773.6']
[242, 'ENSMUSG00000101685.1']
[243, 'ENSMUSG00000101738.1']
[244, 'ENSMUSG00000101306.1']
[245, 'ENSMUSG00000088800.1']
[246, 'ENSMUSG00000101644.1']
[247, 'ENSMUSG00000099433.1']
[248, 'ENSMUSG00000089787.2']
[249, 'ENSMUSG00000042596.7']
[250, 'ENSMUSG00000100720.1']
[251, 'ENSMUSG00000025927.9']
[252, 'ENSMUSG00000100538.1']
[253, 'ENSMUSG00000101117.1']
[254, 'ENSMUSG00000100204.1']
[255, 'ENSMUSG00000084668.1']
[256, 'ENSMUSG00000102597.1']
[257, 'ENSMUSG00000077860.2']
[258, 'ENSMUSG00000043760.12']
[259, 'ENSMUSG00000104095.1']
[260, 'ENSMUSG00000089914.2']
[261, 'ENSMUSG00000090142.2']
[262, 'ENSMUSG00000070175.1']
[263, 'ENSMUSG00000065559.1']
[264, 'ENSMUSG00000099906.1']
[265, 'ENSMUSG00000065480.1']
[266, 'ENSMUSG00000025929.4']
[267, 'ENSMUSG00000041872.5']
[268, 'ENSMUSG00000041859.10']
[269, 'ENSMUSG00000099714.1']
[270, 'ENSMUSG00000102121.1']
[271, 'ENSMUSG00000088858.1']
[272, 'ENSMUSG00000097934.1']
[273, 'ENSMUSG00000025931.11']
[274, 'ENSMUSG00000077314.1']
[275, 'ENSMUSG00000100929.1']
[276, 'ENSMUSG00000041809.5']
[277, 'ENSMUSG00000041779.5']
[278, 'ENSMUSG00000099971.1']
[279, 'ENSMUSG00000100819.1']
[280, 'ENSMUSG00000025933.11']
[281, 'ENSMUSG00000102633.1']
[282, 'ENSMUSG00000025934.11']
[283, 'ENSMUSG00000099343.1']
[284, 'ENSMUSG00000096375.2']
[285, 'ENSMUSG00000025936.11']
[286, 'ENSMUSG00000093963.1']
[287, 'ENSMUSG00000067750.3']
[288, 'ENSMUSG00000086194.1']
[289, 'ENSMUSG00000094436.1']
[290, 'ENSMUSG00000041722.7']
[291, 'ENSMUSG00000085507.1']
[292, 'ENSMUSG00000094926.1']
[293, 'ENSMUSG00000085079.3']
[294, 'ENSMUSG00000085679.2']
[295, 'ENSMUSG00000028033.12']
[296, 'ENSMUSG00000104138.1']
[297, 'ENSMUSG00000082935.3']
[298, 'ENSMUSG00000103748.1']
[299, 'ENSMUSG00000097109.1']
[300, 'ENSMUSG00000099692.1']
[301, 'ENSMUSG00000100418.1']
[302, 'ENSMUSG00000041670.11']
[303, 'ENSMUSG00000097642.1']
[304, 'ENSMUSG00000101468.1']
[305, 'ENSMUSG00000101227.1']
[306, 'ENSMUSG00000073730.2']
[307, 'ENSMUSG00000089553.1']
[308, 'ENSMUSG00000102766.1']
[309, 'ENSMUSG00000065405.2']
[310, 'ENSMUSG00000097970.1']
[311, 'ENSMUSG00000065567.1']
[312, 'ENSMUSG00000100775.1']
[313, 'ENSMUSG00000101226.1']
[314, 'ENSMUSG00000026158.7']
[315, 'ENSMUSG00000097920.1']
[316, 'ENSMUSG00000099503.1']
[317, 'ENSMUSG00000026156.8']
[318, 'ENSMUSG00000026155.9']
[319, 'ENSMUSG00000026154.4']
[320, 'ENSMUSG00000102495.1']
[321, 'ENSMUSG00000026153.11']
[322, 'ENSMUSG00000102398.1']
[323, 'ENSMUSG00000097670.1']
[324, 'ENSMUSG00000026147.12']
[325, 'ENSMUSG00000026141.9']
[326, 'ENSMUSG00000077463.1']
[327, 'ENSMUSG00000099997.1']
[328, 'ENSMUSG00000100131.1']
[329, 'ENSMUSG00000067736.2']
[330, 'ENSMUSG00000101939.1']
[331, 'ENSMUSG00000101111.1']
[332, 'ENSMUSG00000100862.1']
[333, 'ENSMUSG00000102070.1']
[334, 'ENSMUSG00000101249.1']
[335, 'ENSMUSG00000073725.4']
[336, 'ENSMUSG00000100808.1']
[337, 'ENSMUSG00000100483.1']
