[0, 'ENSG00000223972.5']
[1, 'ENSG00000227232.5']
[2, 'ENSG00000278267.1']
[3, 'ENSG00000243485.3']
[4, 'ENSG00000274890.1']
[5, 'ENSG00000237613.2']
[6, 'ENSG00000268020.3']
[7, 'ENSG00000240361.1']
[8, 'ENSG00000186092.4']
[9, 'ENSG00000238009.3']
[10, 'ENSG00000239945.1']
[11, 'ENSG00000233750.3']
[12, 'ENSG00000268903.1']
[13, 'ENSG00000269981.1']
[14, 'ENSG00000239906.1']
[15, 'ENSG00000241860.3']
[16, 'ENSG00000222623.1']
[17, 'ENSG00000241599.1']
[18, 'ENSG00000273874.1']
[19, 'ENSG00000275135.1']
[20, 'ENSG00000228463.5']
[21, 'ENSG00000241670.3']
[22, 'ENSG00000236679.2']
[23, 'ENSG00000236743.1']
[24, 'ENSG00000236601.1']
[25, 'ENSG00000237094.8']
[26, 'ENSG00000269732.1']
[27, 'ENSG00000278566.1']
[28, 'ENSG00000224813.2']
[29, 'ENSG00000233653.3']
[30, 'ENSG00000250575.1']
[31, 'ENSG00000278757.1']
[32, 'ENSG00000231709.1']
[33, 'ENSG00000235146.2']
[34, 'ENSG00000239664.2']
[35, 'ENSG00000230021.4']
[36, 'ENSG00000223659.1']
[37, 'ENSG00000225972.1']
[38, 'ENSG00000225630.1']
[39, 'ENSG00000276171.1']
[40, 'ENSG00000237973.1']
[41, 'ENSG00000278791.1']
[42, 'ENSG00000229344.1']
[43, 'ENSG00000240409.1']
[44, 'ENSG00000248527.1']
[45, 'ENSG00000198744.5']
[46, 'ENSG00000268663.1']
[47, 'ENSG00000273547.1']
[48, 'ENSG00000229376.3']
[49, 'ENSG00000224956.5']
[50, 'ENSG00000235373.1']
[51, 'ENSG00000223181.1']
[52, 'ENSG00000240618.1']
[53, 'ENSG00000229905.1']
[54, 'ENSG00000228327.2']
[55, 'ENSG00000237491.5']
[56, 'ENSG00000230092.4']
[57, 'ENSG00000240453.1']
[58, 'ENSG00000177757.2']
[59, 'ENSG00000225880.5']
[60, 'ENSG00000228794.5']
[61, 'ENSG00000230368.2']
[62, 'ENSG00000234711.1']
[63, 'ENSG00000272438.1']
[64, 'ENSG00000230699.2']
[65, 'ENSG00000241180.1']
[66, 'ENSG00000223764.2']
[67, 'ENSG00000187634.7']
