[188, 'ENSG00000226286.1']
[189, 'ENSG00000272235.1']
[190, 'ENSG00000130762.10']
[191, 'ENSG00000272088.1']
[192, 'ENSG00000162591.11']
[193, 'ENSG00000207776.1']
[194, 'ENSG00000238260.1']
[195, 'ENSG00000158109.10']
[196, 'ENSG00000116213.11']
[197, 'ENSG00000078900.10']
[198, 'ENSG00000227589.1']
[199, 'ENSG00000235131.1']
[200, 'ENSG00000227372.6']
[201, 'ENSG00000162592.4']
[202, 'ENSG00000235169.3']
[203, 'ENSG00000130764.5']
[204, 'ENSG00000266075.1']
[205, 'ENSG00000272153.1']
[206, 'ENSG00000116198.8']
[207, 'ENSG00000169598.11']
[208, 'ENSG00000264428.1']
[209, 'ENSG00000198912.6']
[210, 'ENSG00000236423.1']
[211, 'ENSG00000233304.1']
[212, 'ENSG00000226374.1']
[213, 'ENSG00000229280.1']
[214, 'ENSG00000235054.1']
[215, 'ENSG00000227169.2']
[216, 'ENSG00000232596.1']
[217, 'ENSG00000196581.6']
[218, 'ENSG00000231510.1']
[219, 'ENSG00000260972.1']
[220, 'ENSG00000264341.1']
[221, 'ENSG00000236948.1']
[222, 'ENSG00000216045.2']
[223, 'ENSG00000264101.1']
[224, 'ENSG00000131697.13']
[225, 'ENSG00000266687.1']
[226, 'ENSG00000069424.10']
[227, 'ENSG00000268332.1']
[228, 'ENSG00000116254.13']
[229, 'ENSG00000116251.5']
[230, 'ENSG00000226944.1']
[231, 'ENSG00000158286.8']
[232, 'ENSG00000116237.11']
[233, 'ENSG00000225077.2']
[234, 'ENSG00000173673.7']
[235, 'ENSG00000158292.6']
[236, 'ENSG00000097021.15']
[237, 'ENSG00000271746.1']
[238, 'ENSG00000069812.7']
[239, 'ENSG00000187017.10']
[240, 'ENSG00000265392.1']
[241, 'ENSG00000231868.1']
[242, 'ENSG00000215788.5']
[243, 'ENSG00000171680.16']
[244, 'ENSG00000162408.10']
[245, 'ENSG00000253022.1']
[246, 'ENSG00000229519.2']
[247, 'ENSG00000173662.15']
[248, 'ENSG00000204859.7']
[249, 'ENSG00000162413.12']
[250, 'ENSG00000116273.5']
[251, 'ENSG00000041988.11']
[252, 'ENSG00000007923.11']
[253, 'ENSG00000228750.1']
[254, 'ENSG00000239166.1']
[255, 'ENSG00000237436.1']
[256, 'ENSG00000171735.14']
[257, 'ENSG00000227950.1']
[258, 'ENSG00000237365.1']
[259, 'ENSG00000207056.1']
[260, 'ENSG00000237402.1']
[261, 'ENSG00000237728.1']
[262, 'ENSG00000225126.1']
[263, 'ENSG00000270171.1']
[264, 'ENSG00000270035.1']
[265, 'ENSG00000269978.1']
[266, 'ENSG00000049245.8']
[267, 'ENSG00000269925.1']
[268, 'ENSG00000049246.10']
[269, 'ENSG00000236266.1']
[270, 'ENSG00000049247.9']
[271, 'ENSG00000049249.4']
[272, 'ENSG00000270330.1']
[273, 'ENSG00000116288.8']
[274, 'ENSG00000200344.1']
[275, 'ENSG00000116285.8']
[276, 'ENSG00000238290.1']
[277, 'ENSG00000232848.1']
[278, 'ENSG00000229305.1']
[279, 'ENSG00000200975.1']
[280, 'ENSG00000227634.1']
[281, 'ENSG00000233645.1']
[282, 'ENSG00000265414.1']
[283, 'ENSG00000251977.1']
[284, 'ENSG00000162426.10']
[285, 'ENSG00000252254.1']
[286, 'ENSG00000142599.13']
[287, 'ENSG00000232912.1']
[288, 'ENSG00000221083.1']
[289, 'ENSG00000270282.1']
[290, 'ENSG00000234619.1']
[291, 'ENSG00000224315.2']
[292, 'ENSG00000222511.1']
[293, 'ENSG00000226545.1']
[294, 'ENSG00000228423.2']
[295, 'ENSG00000229716.2']
[296, 'ENSG00000074800.9']
[297, 'ENSG00000236269.1']
[298, 'ENSG00000230679.1']
[299, 'ENSG00000201725.1']
[300, 'ENSG00000238249.1']
[301, 'ENSG00000232208.2']
[302, 'ENSG00000232663.2']
[303, 'ENSG00000131686.10']
[304, 'ENSG00000265141.1']
[305, 'ENSG00000197241.3']
[306, 'ENSG00000142583.13']
[307, 'ENSG00000252404.1']
[308, 'ENSG00000180758.10']
[309, 'ENSG00000207865.1']
[310, 'ENSG00000228526.2']
[311, 'ENSG00000234546.2']
[312, 'ENSG00000049239.8']
[313, 'ENSG00000252841.1']
[314, 'ENSG00000171621.9']
[315, 'ENSG00000252956.1']
[316, 'ENSG00000235263.1']
[317, 'ENSG00000171612.6']
[318, 'ENSG00000231181.1']
[319, 'ENSG00000188807.8']
[320, 'ENSG00000171608.11']
[321, 'ENSG00000179840.5']
[322, 'ENSG00000233268.3']
[323, 'ENSG00000231789.2']
[324, 'ENSG00000171603.12']
[325, 'ENSG00000271264.1']
[326, 'ENSG00000178585.10']
[327, 'ENSG00000223989.1']
[328, 'ENSG00000162441.7']
[329, 'ENSG00000228150.1']
[330, 'ENSG00000173614.9']
[331, 'ENSG00000202415.1']
[332, 'ENSG00000265521.1']
[333, 'ENSG00000241326.1']
[334, 'ENSG00000162444.11']
[335, 'ENSG00000225786.2']
[336, 'ENSG00000130939.14']
[337, 'ENSG00000224340.1']
[338, 'ENSG00000233623.2']
[339, 'ENSG00000201746.1']
[340, 'ENSG00000054523.12']
[341, 'ENSG00000264881.1']
[342, 'ENSG00000199562.1']
[343, 'ENSG00000264501.1']
[344, 'ENSG00000265945.1']
[345, 'ENSG00000142657.16']
[346, 'ENSG00000271989.1']
[347, 'ENSG00000175279.17']
[348, 'ENSG00000251503.3']
[349, 'ENSG00000241563.2']
[350, 'ENSG00000160049.7']
[351, 'ENSG00000203469.2']
[352, 'ENSG00000142655.8']
[353, 'ENSG00000243267.2']
[354, 'ENSG00000130940.10']
[355, 'ENSG00000272078.1']
[356, 'ENSG00000225158.2']
[357, 'ENSG00000175262.10']
[358, 'ENSG00000215785.2']
[359, 'ENSG00000264181.1']
[360, 'ENSG00000207213.1']
[361, 'ENSG00000120948.11']
[362, 'ENSG00000009724.12']
[363, 'ENSG00000271895.1']
[364, 'ENSG00000116649.5']
[365, 'ENSG00000171824.9']
[366, 'ENSG00000226849.1']
[367, 'ENSG00000230337.1']
[368, 'ENSG00000198793.8']
[369, 'ENSG00000225602.1']
[370, 'ENSG00000253086.1']
[371, 'ENSG00000271794.1']
[372, 'ENSG00000171819.4']
[373, 'ENSG00000207451.1']
[374, 'ENSG00000238173.1']
[375, 'ENSG00000120942.9']
[376, 'ENSG00000238199.1']
[377, 'ENSG00000224338.2']
[378, 'ENSG00000204624.6']
[379, 'ENSG00000235643.1']
[380, 'ENSG00000116661.9']
[381, 'ENSG00000132879.9']
[382, 'ENSG00000116663.6']
[383, 'ENSG00000116670.10']
[384, 'ENSG00000162490.6']
[385, 'ENSG00000177674.11']
[386, 'ENSG00000215910.3']
[387, 'ENSG00000177553.6']
[388, 'ENSG00000177000.6']
[389, 'ENSG00000011021.17']
[390, 'ENSG00000242349.1']
[391, 'ENSG00000175206.6']
[392, 'ENSG00000120937.8']
[393, 'ENSG00000224904.1']
[394, 'ENSG00000199347.1']
[395, 'ENSG00000201801.1']
[396, 'ENSG00000116685.11']
[397, 'ENSG00000083444.12']
[398, 'ENSG00000116688.12']
[399, 'ENSG00000270914.1']
[400, 'ENSG00000116691.6']
