[160, 'ENSMUSG00000065567.1']
[161, 'ENSMUSG00000026158.5']
[162, 'ENSMUSG00000026156.8']
[163, 'ENSMUSG00000026155.7']
[164, 'ENSMUSG00000026154.3']
[165, 'ENSMUSG00000026153.8']
[166, 'ENSMUSG00000026147.9']
[167, 'ENSMUSG00000026141.7']
[168, 'ENSMUSG00000077463.1']
[169, 'ENSMUSG00000067736.1']
[170, 'ENSMUSG00000090378.1']
[171, 'ENSMUSG00000073725.2']
[172, 'ENSMUSG00000033569.10']
[173, 'ENSMUSG00000080849.1']
[174, 'ENSMUSG00000064910.1']
[175, 'ENSMUSG00000084740.1']
[176, 'ENSMUSG00000052558.1']
[177, 'ENSMUSG00000088111.1']
[178, 'ENSMUSG00000073722.2']
[179, 'ENSMUSG00000065125.1']
[180, 'ENSMUSG00000079640.1']
[181, 'ENSMUSG00000084715.1']
[182, 'ENSMUSG00000086240.2']
[183, 'ENSMUSG00000048411.3']
[184, 'ENSMUSG00000081557.1']
[185, 'ENSMUSG00000090766.1']
[186, 'ENSMUSG00000058590.1']
[187, 'ENSMUSG00000064433.1']
[188, 'ENSMUSG00000080625.1']
[189, 'ENSMUSG00000080391.1']
[190, 'ENSMUSG00000077073.1']
[191, 'ENSMUSG00000053185.1']
[192, 'ENSMUSG00000048874.8']
[193, 'ENSMUSG00000026064.8']
[194, 'ENSMUSG00000086151.1']
[195, 'ENSMUSG00000086726.1']
[196, 'ENSMUSG00000087346.1']
[197, 'ENSMUSG00000086727.1']
[198, 'ENSMUSG00000050217.7']
[199, 'ENSMUSG00000026063.3']
[200, 'ENSMUSG00000077664.1']
[201, 'ENSMUSG00000070960.2']
[202, 'ENSMUSG00000088620.1']
[203, 'ENSMUSG00000082159.1']
[204, 'ENSMUSG00000026058.5']
[205, 'ENSMUSG00000064688.1']
[206, 'ENSMUSG00000049830.2']
[207, 'ENSMUSG00000091318.1']
[208, 'ENSMUSG00000089489.1']
[209, 'ENSMUSG00000089395.1']
[210, 'ENSMUSG00000088750.1']
[211, 'ENSMUSG00000065223.1']
[212, 'ENSMUSG00000065260.1']
[213, 'ENSMUSG00000026134.9']
[214, 'ENSMUSG00000044744.5']
[215, 'ENSMUSG00000004768.8']
[216, 'ENSMUSG00000042215.7']
[217, 'ENSMUSG00000042197.7']
[218, 'ENSMUSG00000081402.2']
[219, 'ENSMUSG00000042182.9']
[220, 'ENSMUSG00000026131.9']
[221, 'ENSMUSG00000084506.1']
[222, 'ENSMUSG00000085306.1']
[223, 'ENSMUSG00000079617.1']
[224, 'ENSMUSG00000092852.1']
[225, 'ENSMUSG00000042111.8']
[226, 'ENSMUSG00000026127.7']
[227, 'ENSMUSG00000026126.8']
[228, 'ENSMUSG00000026125.3']
[229, 'ENSMUSG00000026124.3']
[230, 'ENSMUSG00000037529.7']
[231, 'ENSMUSG00000045815.3']
[232, 'ENSMUSG00000045174.8']
[233, 'ENSMUSG00000089955.1']
[234, 'ENSMUSG00000037509.10']
[235, 'ENSMUSG00000046858.6']
[236, 'ENSMUSG00000037503.6']
[237, 'ENSMUSG00000026123.4']
[238, 'ENSMUSG00000077231.1']
[239, 'ENSMUSG00000064601.1']
[240, 'ENSMUSG00000045216.6']
[241, 'ENSMUSG00000037470.8']
[242, 'ENSMUSG00000047180.6']
[243, 'ENSMUSG00000037447.9']
[244, 'ENSMUSG00000010453.5']
[245, 'ENSMUSG00000037432.9']
[246, 'ENSMUSG00000001143.7']
[247, 'ENSMUSG00000037408.8']
[248, 'ENSMUSG00000001138.7']
[249, 'ENSMUSG00000067653.5']
[250, 'ENSMUSG00000079610.3']
[251, 'ENSMUSG00000026121.7']
[252, 'ENSMUSG00000087589.2']
[253, 'ENSMUSG00000046337.10']
[254, 'ENSMUSG00000089906.1']
[255, 'ENSMUSG00000077939.1']
[256, 'ENSMUSG00000061518.4']
[257, 'ENSMUSG00000037351.3']
