[0, 'ENSMUSG00000102693.1']
[72, 'ENSMUSG00000077244.1']
[73, 'ENSMUSG00000102768.1']
[74, 'ENSMUSG00000097797.6']
[75, 'ENSMUSG00000103498.1']
[76, 'ENSMUSG00000103067.1']
[77, 'ENSMUSG00000102320.1']
[78, 'ENSMUSG00000104226.1']
[79, 'ENSMUSG00000103903.1']
[80, 'ENSMUSG00000103557.1']
[81, 'ENSMUSG00000025909.16']
[82, 'ENSMUSG00000102647.1']
[83, 'ENSMUSG00000086235.1']
[84, 'ENSMUSG00000102253.1']
[85, 'ENSMUSG00000093970.1']
[86, 'ENSMUSG00000103884.1']
[87, 'ENSMUSG00000084353.1']
[88, 'ENSMUSG00000103933.1']
[89, 'ENSMUSG00000076135.1']
[90, 'ENSMUSG00000086195.1']
[91, 'ENSMUSG00000104504.1']
[92, 'ENSMUSG00000066693.2']
[93, 'ENSMUSG00000102316.1']
[94, 'ENSMUSG00000103819.1']
[95, 'ENSMUSG00000102871.1']
[96, 'ENSMUSG00000101571.2']
[97, 'ENSMUSG00000104428.1']
[98, 'ENSMUSG00000102272.1']
[99, 'ENSMUSG00000065625.1']
[100, 'ENSMUSG00000103411.1']
[101, 'ENSMUSG00000061024.8']
[102, 'ENSMUSG00000025911.14']
[103, 'ENSMUSG00000079671.8']
[104, 'ENSMUSG00000081441.3']
[105, 'ENSMUSG00000067879.3']
[106, 'ENSMUSG00000099827.1']
[107, 'ENSMUSG00000025912.16']
[108, 'ENSMUSG00000045210.8']
[109, 'ENSMUSG00000097893.8']
[110, 'ENSMUSG00000025915.14']
[111, 'ENSMUSG00000046334.4']
[112, 'ENSMUSG00000088916.1']
[113, 'ENSMUSG00000046101.16']
[114, 'ENSMUSG00000098234.7']
[115, 'ENSMUSG00000093178.1']
[116, 'ENSMUSG00000099032.2']
[117, 'ENSMUSG00000104025.1']
[118, 'ENSMUSG00000025916.10']
[119, 'ENSMUSG00000087199.1']
[120, 'ENSMUSG00000095780.1']
[121, 'ENSMUSG00000025917.9']
[122, 'ENSMUSG00000056763.16']
[123, 'ENSMUSG00000102356.1']
[124, 'ENSMUSG00000067851.11']
[125, 'ENSMUSG00000088153.1']
[126, 'ENSMUSG00000102556.1']
[127, 'ENSMUSG00000042501.12']
[128, 'ENSMUSG00000103810.1']
[129, 'ENSMUSG00000083422.1']
[130, 'ENSMUSG00000094979.1']
[131, 'ENSMUSG00000081417.1']
[132, 'ENSMUSG00000103448.1']
[133, 'ENSMUSG00000100212.1']
[134, 'ENSMUSG00000100648.1']
[135, 'ENSMUSG00000088585.1']
[136, 'ENSMUSG00000048960.13']
[137, 'ENSMUSG00000077318.1']
[138, 'ENSMUSG00000101827.1']
[139, 'ENSMUSG00000103494.1']
[140, 'ENSMUSG00000057715.13']
[141, 'ENSMUSG00000103825.1']
[142, 'ENSMUSG00000099845.1']
[143, 'ENSMUSG00000103561.1']
[144, 'ENSMUSG00000101610.1']
[145, 'ENSMUSG00000093864.1']
[146, 'ENSMUSG00000098555.1']
[147, 'ENSMUSG00000097628.1']
[148, 'ENSMUSG00000098163.1']
[149, 'ENSMUSG00000097171.1']
[150, 'ENSMUSG00000101314.1']
[151, 'ENSMUSG00000016918.15']
[152, 'ENSMUSG00000025938.16']
[153, 'ENSMUSG00000104518.1']
[154, 'ENSMUSG00000069620.6']
[155, 'ENSMUSG00000099498.1']
[156, 'ENSMUSG00000042414.7']
[157, 'ENSMUSG00000005886.14']
[158, 'ENSMUSG00000103506.1']
[159, 'ENSMUSG00000103495.1']
[160, 'ENSMUSG00000099183.1']
[161, 'ENSMUSG00000102639.1']
[162, 'ENSMUSG00000104170.1']
[163, 'ENSMUSG00000087782.1']
[164, 'ENSMUSG00000103085.1']
[165, 'ENSMUSG00000102664.1']
[166, 'ENSMUSG00000101476.1']
[167, 'ENSMUSG00000101171.1']
[168, 'ENSMUSG00000025935.10']
[169, 'ENSMUSG00000025937.6']
[170, 'ENSMUSG00000102982.1']
[171, 'ENSMUSG00000067813.3']
[172, 'ENSMUSG00000077368.1']
[173, 'ENSMUSG00000097711.1']
[174, 'ENSMUSG00000102166.1']
[175, 'ENSMUSG00000089358.1']
[176, 'ENSMUSG00000104209.1']
[177, 'ENSMUSG00000025932.14']
[178, 'ENSMUSG00000095853.1']
[179, 'ENSMUSG00000102588.1']
[180, 'ENSMUSG00000054493.2']
[181, 'ENSMUSG00000025930.6']
[182, 'ENSMUSG00000103492.1']
[183, 'ENSMUSG00000081201.1']
[184, 'ENSMUSG00000082193.1']
[185, 'ENSMUSG00000032769.5']
[186, 'ENSMUSG00000088159.1']
[187, 'ENSMUSG00000073737.3']
[188, 'ENSMUSG00000092083.4']
[189, 'ENSMUSG00000102937.1']
[190, 'ENSMUSG00000104149.1']
[191, 'ENSMUSG00000088829.1']
[192, 'ENSMUSG00000077377.1']
[193, 'ENSMUSG00000101652.1']
[194, 'ENSMUSG00000100814.1']
[195, 'ENSMUSG00000025925.14']
[196, 'ENSMUSG00000104379.1']
[197, 'ENSMUSG00000032719.4']
[198, 'ENSMUSG00000088943.1']
[199, 'ENSMUSG00000100652.1']
[200, 'ENSMUSG00000067795.13']
[201, 'ENSMUSG00000043716.13']
[202, 'ENSMUSG00000025921.7']
[203, 'ENSMUSG00000104165.1']
[204, 'ENSMUSG00000100868.1']
[205, 'ENSMUSG00000025920.19']
[206, 'ENSMUSG00000089982.7']
[207, 'ENSMUSG00000025939.19']
[208, 'ENSMUSG00000102457.1']
[209, 'ENSMUSG00000079658.9']
[210, 'ENSMUSG00000097744.1']
[211, 'ENSMUSG00000100959.1']
[212, 'ENSMUSG00000025940.6']
[213, 'ENSMUSG00000025779.10']
[214, 'ENSMUSG00000100093.1']
[215, 'ENSMUSG00000091020.3']
[216, 'ENSMUSG00000101640.1']
[217, 'ENSMUSG00000104133.1']
[218, 'ENSMUSG00000042686.5']
[219, 'ENSMUSG00000100110.1']
[220, 'ENSMUSG00000025777.8']
[221, 'ENSMUSG00000099899.1']
[222, 'ENSMUSG00000100272.1']
[223, 'ENSMUSG00000100398.1']
[224, 'ENSMUSG00000101589.1']
[225, 'ENSMUSG00000102048.1']
[226, 'ENSMUSG00000089534.1']
[227, 'ENSMUSG00000067780.3']
[228, 'ENSMUSG00000100053.1']
[229, 'ENSMUSG00000085125.7']
[230, 'ENSMUSG00000025776.13']
[231, 'ENSMUSG00000099895.1']
[232, 'ENSMUSG00000100554.1']
[233, 'ENSMUSG00000099473.1']
[234, 'ENSMUSG00000099591.1']
[235, 'ENSMUSG00000109887.1']
[236, 'ENSMUSG00000102001.1']
[237, 'ENSMUSG00000101717.2']
[238, 'ENSMUSG00000025774.14']
[239, 'ENSMUSG00000070977.4']
[240, 'ENSMUSG00000073735.1']
[241, 'ENSMUSG00000067773.6']
[242, 'ENSMUSG00000101685.1']
[243, 'ENSMUSG00000101306.1']
[244, 'ENSMUSG00000088800.1']
[245, 'ENSMUSG00000101644.1']
[246, 'ENSMUSG00000099433.1']
[247, 'ENSMUSG00000089787.2']
[248, 'ENSMUSG00000042596.7']
[249, 'ENSMUSG00000100720.1']
[250, 'ENSMUSG00000025927.13']
[251, 'ENSMUSG00000100538.1']
[252, 'ENSMUSG00000101117.1']
[253, 'ENSMUSG00000100204.1']
[254, 'ENSMUSG00000084668.1']
[255, 'ENSMUSG00000102597.1']
[256, 'ENSMUSG00000043760.16']
[257, 'ENSMUSG00000104095.1']
[258, 'ENSMUSG00000089914.2']
[259, 'ENSMUSG00000090142.2']
[260, 'ENSMUSG00000070175.1']
[261, 'ENSMUSG00000099906.2']
[262, 'ENSMUSG00000065559.1']
[263, 'ENSMUSG00000065480.1']
[264, 'ENSMUSG00000025929.4']
[265, 'ENSMUSG00000041872.9']
[266, 'ENSMUSG00000041859.10']
[267, 'ENSMUSG00000099714.1']
[268, 'ENSMUSG00000102121.1']
[269, 'ENSMUSG00000088858.1']
[270, 'ENSMUSG00000097934.1']
[271, 'ENSMUSG00000025931.15']
[272, 'ENSMUSG00000077314.1']
[273, 'ENSMUSG00000100929.1']
[274, 'ENSMUSG00000041809.5']
[275, 'ENSMUSG00000041779.5']
[276, 'ENSMUSG00000099971.1']
[277, 'ENSMUSG00000100819.1']
[278, 'ENSMUSG00000025933.15']
[279, 'ENSMUSG00000102633.1']
[280, 'ENSMUSG00000025934.15']
[281, 'ENSMUSG00000099343.1']
[282, 'ENSMUSG00000096375.2']
[283, 'ENSMUSG00000025936.15']
[284, 'ENSMUSG00000093963.1']
[285, 'ENSMUSG00000067750.3']
[286, 'ENSMUSG00000086194.1']
[287, 'ENSMUSG00000094436.1']
[288, 'ENSMUSG00000041722.7']
[289, 'ENSMUSG00000085507.1']
[290, 'ENSMUSG00000094926.1']
[291, 'ENSMUSG00000085079.3']
[292, 'ENSMUSG00000085679.2']
[293, 'ENSMUSG00000028033.16']
[294, 'ENSMUSG00000104138.1']
[295, 'ENSMUSG00000082935.3']
[296, 'ENSMUSG00000103748.1']
[297, 'ENSMUSG00000099692.1']
[298, 'ENSMUSG00000100418.1']
[299, 'ENSMUSG00000041670.17']
[300, 'ENSMUSG00000097642.1']
[301, 'ENSMUSG00000101468.1']
[302, 'ENSMUSG00000101227.1']
[303, 'ENSMUSG00000073730.2']
[304, 'ENSMUSG00000089553.1']
[305, 'ENSMUSG00000102766.1']
[306, 'ENSMUSG00000065405.3']
[307, 'ENSMUSG00000097970.1']
[308, 'ENSMUSG00000065567.1']
[309, 'ENSMUSG00000100775.1']
[310, 'ENSMUSG00000101226.1']
[311, 'ENSMUSG00000026158.11']
[312, 'ENSMUSG00000097920.1']
[313, 'ENSMUSG00000099503.1']
[314, 'ENSMUSG00000026156.8']
[315, 'ENSMUSG00000026155.13']
[316, 'ENSMUSG00000026154.4']
[317, 'ENSMUSG00000102495.1']
[318, 'ENSMUSG00000026153.15']
[319, 'ENSMUSG00000102398.1']
[320, 'ENSMUSG00000097670.1']
[321, 'ENSMUSG00000026147.16']
[322, 'ENSMUSG00000026141.13']
[323, 'ENSMUSG00000077463.1']
[324, 'ENSMUSG00000099997.1']
[325, 'ENSMUSG00000100131.1']
[326, 'ENSMUSG00000067736.2']
[327, 'ENSMUSG00000101939.1']
[328, 'ENSMUSG00000101111.1']
[329, 'ENSMUSG00000100862.1']
[330, 'ENSMUSG00000102070.1']
[331, 'ENSMUSG00000101249.1']
[332, 'ENSMUSG00000073725.8']
[333, 'ENSMUSG00000100808.1']
[334, 'ENSMUSG00000100483.1']
[335, 'ENSMUSG00000100450.1']
[336, 'ENSMUSG00000099392.1']
[337, 'ENSMUSG00000033569.17']
[338, 'ENSMUSG00000080849.1']
[339, 'ENSMUSG00000104257.1']
[340, 'ENSMUSG00000096866.1']
[341, 'ENSMUSG00000102296.1']
[342, 'ENSMUSG00000103209.1']
[343, 'ENSMUSG00000104027.1']
[344, 'ENSMUSG00000102407.1']
[345, 'ENSMUSG00000103214.1']
[346, 'ENSMUSG00000104100.1']
[347, 'ENSMUSG00000084740.1']
[348, 'ENSMUSG00000103889.1']
[349, 'ENSMUSG00000101301.1']
[350, 'ENSMUSG00000104221.1']
[351, 'ENSMUSG00000102250.1']
[352, 'ENSMUSG00000102317.1']
[353, 'ENSMUSG00000103563.1']
[354, 'ENSMUSG00000102465.1']
[355, 'ENSMUSG00000102659.1']
[356, 'ENSMUSG00000103924.1']
[357, 'ENSMUSG00000104132.1']
[358, 'ENSMUSG00000102747.1']
[359, 'ENSMUSG00000102386.1']
[360, 'ENSMUSG00000103004.1']
[361, 'ENSMUSG00000104516.1']
[362, 'ENSMUSG00000101618.1']
[363, 'ENSMUSG00000099458.1']
[364, 'ENSMUSG00000088111.1']
[365, 'ENSMUSG00000073722.3']
[366, 'ENSMUSG00000095256.1']
[367, 'ENSMUSG00000100310.1']
[368, 'ENSMUSG00000101514.1']
[369, 'ENSMUSG00000101033.1']
[370, 'ENSMUSG00000101372.1']
[371, 'ENSMUSG00000103241.1']
[372, 'ENSMUSG00000086240.4']
[373, 'ENSMUSG00000048411.4']
[374, 'ENSMUSG00000081557.2']
[375, 'ENSMUSG00000058590.2']
[376, 'ENSMUSG00000101235.1']
[377, 'ENSMUSG00000064433.1']
[378, 'ENSMUSG00000080625.1']
[379, 'ENSMUSG00000080391.1']
[380, 'ENSMUSG00000099257.1']
[381, 'ENSMUSG00000099492.1']
[382, 'ENSMUSG00000118548.1']
[383, 'ENSMUSG00000101726.1']
[384, 'ENSMUSG00000096829.1']
[385, 'ENSMUSG00000098883.1']
[386, 'ENSMUSG00000053185.2']
[387, 'ENSMUSG00000100261.1']
[388, 'ENSMUSG00000101180.1']
[389, 'ENSMUSG00000048874.15']
[390, 'ENSMUSG00000103783.1']
[391, 'ENSMUSG00000104315.1']
[392, 'ENSMUSG00000026064.16']
[393, 'ENSMUSG00000117310.2']
[394, 'ENSMUSG00000117091.1']
[395, 'ENSMUSG00000086726.3']
[396, 'ENSMUSG00000086727.8']
[397, 'ENSMUSG00000100237.1']
[398, 'ENSMUSG00000098529.1']
[399, 'ENSMUSG00000100910.1']
[400, 'ENSMUSG00000099796.1']
[401, 'ENSMUSG00000050217.13']
[402, 'ENSMUSG00000026063.4']
[403, 'ENSMUSG00000077664.1']
[404, 'ENSMUSG00000100205.1']
[405, 'ENSMUSG00000100592.1']
[406, 'ENSMUSG00000094215.2']
[407, 'ENSMUSG00000101093.1']
[408, 'ENSMUSG00000070960.4']
[409, 'ENSMUSG00000088620.1']
[410, 'ENSMUSG00000082159.2']
[411, 'ENSMUSG00000026058.11']
[412, 'ENSMUSG00000064688.1']
[413, 'ENSMUSG00000103482.1']
[414, 'ENSMUSG00000104498.1']
[415, 'ENSMUSG00000104313.1']
[416, 'ENSMUSG00000102865.1']
[417, 'ENSMUSG00000102321.1']
[418, 'ENSMUSG00000091318.2']
[419, 'ENSMUSG00000089489.1']
[420, 'ENSMUSG00000104433.1']
[421, 'ENSMUSG00000089395.1']
[422, 'ENSMUSG00000102926.1']
[423, 'ENSMUSG00000100497.1']
[424, 'ENSMUSG00000102917.1']
[425, 'ENSMUSG00000100481.1']
[426, 'ENSMUSG00000100590.1']
[427, 'ENSMUSG00000088750.1']
[428, 'ENSMUSG00000104230.1']
[429, 'ENSMUSG00000101754.2']
[430, 'ENSMUSG00000065223.1']
[431, 'ENSMUSG00000100318.2']
[432, 'ENSMUSG00000101612.2']
[433, 'ENSMUSG00000065260.1']
[434, 'ENSMUSG00000026134.11']
[435, 'ENSMUSG00000101682.1']
[436, 'ENSMUSG00000102714.1']
[437, 'ENSMUSG00000102093.1']
[438, 'ENSMUSG00000103746.1']
[439, 'ENSMUSG00000102198.1']
[440, 'ENSMUSG00000004768.14']
[441, 'ENSMUSG00000042215.8']
[442, 'ENSMUSG00000103072.1']
[443, 'ENSMUSG00000042197.13']
[444, 'ENSMUSG00000081402.4']
[445, 'ENSMUSG00000042182.16']
[446, 'ENSMUSG00000104416.1']
[447, 'ENSMUSG00000026131.20']
[448, 'ENSMUSG00000103596.1']
[449, 'ENSMUSG00000099382.1']
[450, 'ENSMUSG00000084506.1']
[451, 'ENSMUSG00000103364.1']
[452, 'ENSMUSG00000105982.1']
[453, 'ENSMUSG00000096992.3']
[454, 'ENSMUSG00000103001.1']
[455, 'ENSMUSG00000104397.1']
[456, 'ENSMUSG00000102839.1']
[457, 'ENSMUSG00000101206.1']
[458, 'ENSMUSG00000101462.2']
[459, 'ENSMUSG00000102336.1']
[460, 'ENSMUSG00000092852.1']
[461, 'ENSMUSG00000042111.9']
[462, 'ENSMUSG00000101711.1']
[463, 'ENSMUSG00000026127.13']
[464, 'ENSMUSG00000026126.15']
[465, 'ENSMUSG00000100280.2']
[466, 'ENSMUSG00000101223.6']
[467, 'ENSMUSG00000026125.9']
[468, 'ENSMUSG00000101116.1']
[469, 'ENSMUSG00000026124.4']
[470, 'ENSMUSG00000101803.1']
[471, 'ENSMUSG00000037529.13']
[472, 'ENSMUSG00000045815.4']
[473, 'ENSMUSG00000045174.10']
[474, 'ENSMUSG00000100524.1']
[475, 'ENSMUSG00000102499.1']
[476, 'ENSMUSG00000103521.1']
[477, 'ENSMUSG00000104098.1']
[478, 'ENSMUSG00000037509.21']
[479, 'ENSMUSG00000102537.1']
[480, 'ENSMUSG00000102612.1']
[481, 'ENSMUSG00000118272.1']
[482, 'ENSMUSG00000104002.2']
[483, 'ENSMUSG00000037503.12']
[484, 'ENSMUSG00000104358.1']
[485, 'ENSMUSG00000026123.11']
[486, 'ENSMUSG00000103716.1']
[487, 'ENSMUSG00000103548.1']
[488, 'ENSMUSG00000103760.1']
[489, 'ENSMUSG00000103997.1']
[490, 'ENSMUSG00000077231.1']
[491, 'ENSMUSG00000104417.1']
[492, 'ENSMUSG00000064601.1']
[493, 'ENSMUSG00000101714.1']
[494, 'ENSMUSG00000102531.1']
[495, 'ENSMUSG00000103096.1']
[496, 'ENSMUSG00000102279.1']
[497, 'ENSMUSG00000103708.1']
[498, 'ENSMUSG00000104201.1']
[499, 'ENSMUSG00000102434.1']
[500, 'ENSMUSG00000045216.7']
[501, 'ENSMUSG00000104523.1']
[502, 'ENSMUSG00000102202.1']
[503, 'ENSMUSG00000037470.14']
[504, 'ENSMUSG00000098752.1']
[505, 'ENSMUSG00000047180.8']
[506, 'ENSMUSG00000037447.16']
[507, 'ENSMUSG00000102762.1']
[508, 'ENSMUSG00000010453.12']
[509, 'ENSMUSG00000098680.1']
[510, 'ENSMUSG00000037432.15']
[511, 'ENSMUSG00000001143.13']
[512, 'ENSMUSG00000037408.10']
[513, 'ENSMUSG00000104316.1']
[514, 'ENSMUSG00000106081.1']
[515, 'ENSMUSG00000001138.13']
[516, 'ENSMUSG00000102845.1']
[517, 'ENSMUSG00000067653.12']
[518, 'ENSMUSG00000109510.1']
[519, 'ENSMUSG00000079610.9']
[520, 'ENSMUSG00000026121.13']
[521, 'ENSMUSG00000087589.3']
[522, 'ENSMUSG00000046337.17']
[523, 'ENSMUSG00000089906.1']
[524, 'ENSMUSG00000077939.1']
[525, 'ENSMUSG00000061518.11']
[526, 'ENSMUSG00000037351.9']
[527, 'ENSMUSG00000102416.4']
[528, 'ENSMUSG00000104237.1']
[529, 'ENSMUSG00000026117.10']
[530, 'ENSMUSG00000097291.1']
[531, 'ENSMUSG00000026116.11']
[532, 'ENSMUSG00000103016.1']
[533, 'ENSMUSG00000102930.1']
[534, 'ENSMUSG00000103159.1']
[535, 'ENSMUSG00000080054.3']
[536, 'ENSMUSG00000095944.1']
[537, 'ENSMUSG00000050122.19']
[538, 'ENSMUSG00000103603.1']
[539, 'ENSMUSG00000026114.14']
[540, 'ENSMUSG00000102231.1']
[541, 'ENSMUSG00000026113.17']
[542, 'ENSMUSG00000086064.1']
[543, 'ENSMUSG00000102879.1']
[544, 'ENSMUSG00000026112.7']
[545, 'ENSMUSG00000026111.15']
[546, 'ENSMUSG00000026110.15']
[547, 'ENSMUSG00000103948.1']
[548, 'ENSMUSG00000087233.1']
[549, 'ENSMUSG00000026090.16']
[550, 'ENSMUSG00000089767.1']
[551, 'ENSMUSG00000104365.1']
[552, 'ENSMUSG00000102650.1']
[553, 'ENSMUSG00000060771.15']
[554, 'ENSMUSG00000097268.1']
[555, 'ENSMUSG00000037216.5']
[556, 'ENSMUSG00000026088.15']
[557, 'ENSMUSG00000026087.11']
[558, 'ENSMUSG00000061584.6']
[559, 'ENSMUSG00000087374.1']
[560, 'ENSMUSG00000026085.11']
[561, 'ENSMUSG00000089141.1']
[562, 'ENSMUSG00000058407.12']
[563, 'ENSMUSG00000026083.12']
[564, 'ENSMUSG00000026082.11']
[565, 'ENSMUSG00000103804.1']
[566, 'ENSMUSG00000102716.1']
[567, 'ENSMUSG00000037138.18']
[568, 'ENSMUSG00000085391.1']
[569, 'ENSMUSG00000085280.1']
[570, 'ENSMUSG00000087131.7']
[571, 'ENSMUSG00000102984.1']
[572, 'ENSMUSG00000102541.1']
[573, 'ENSMUSG00000103531.1']
[574, 'ENSMUSG00000048814.11']
[575, 'ENSMUSG00000026080.13']
[576, 'ENSMUSG00000103647.1']
[577, 'ENSMUSG00000102447.1']
[578, 'ENSMUSG00000067604.8']
[579, 'ENSMUSG00000026078.10']
[580, 'ENSMUSG00000103046.1']
[581, 'ENSMUSG00000104188.1']
[582, 'ENSMUSG00000103182.1']
[583, 'ENSMUSG00000098833.1']
[584, 'ENSMUSG00000026077.15']
[585, 'ENSMUSG00000092553.1']
[586, 'ENSMUSG00000092563.1']
[587, 'ENSMUSG00000073702.11']
[588, 'ENSMUSG00000003134.10']
[589, 'ENSMUSG00000102607.1']
[590, 'ENSMUSG00000065629.2']
[591, 'ENSMUSG00000104827.1']
[592, 'ENSMUSG00000003135.15']
[593, 'ENSMUSG00000085894.1']
[594, 'ENSMUSG00000077704.1']
[595, 'ENSMUSG00000048234.13']
[596, 'ENSMUSG00000064936.1']
[597, 'ENSMUSG00000102471.1']
[598, 'ENSMUSG00000050967.5']
[599, 'ENSMUSG00000097083.1']
[600, 'ENSMUSG00000057173.8']
[601, 'ENSMUSG00000091937.3']
[602, 'ENSMUSG00000101634.6']
[603, 'ENSMUSG00000026074.15']
[604, 'ENSMUSG00000102985.1']
[605, 'ENSMUSG00000026073.13']
[606, 'ENSMUSG00000097899.2']
[607, 'ENSMUSG00000102975.1']
[608, 'ENSMUSG00000026072.12']
[609, 'ENSMUSG00000103560.1']
[610, 'ENSMUSG00000070942.8']
[611, 'ENSMUSG00000103230.1']
[612, 'ENSMUSG00000026069.15']
[613, 'ENSMUSG00000026070.15']
[614, 'ENSMUSG00000026068.11']
[615, 'ENSMUSG00000104441.1']
[616, 'ENSMUSG00000026065.8']
[617, 'ENSMUSG00000102676.1']
[618, 'ENSMUSG00000026062.12']
[619, 'ENSMUSG00000103679.1']
[620, 'ENSMUSG00000103270.1']
[621, 'ENSMUSG00000041945.12']
[622, 'ENSMUSG00000079588.3']
[623, 'ENSMUSG00000094136.2']
[624, 'ENSMUSG00000104072.1']
[625, 'ENSMUSG00000100185.1']
[626, 'ENSMUSG00000100832.1']
[627, 'ENSMUSG00000100178.1']
[628, 'ENSMUSG00000101877.1']
[629, 'ENSMUSG00000053640.2']
[630, 'ENSMUSG00000101919.1']
[631, 'ENSMUSG00000101299.2']
[632, 'ENSMUSG00000100180.1']
[633, 'ENSMUSG00000103106.1']
[634, 'ENSMUSG00000060424.14']
[635, 'ENSMUSG00000104199.1']
[636, 'ENSMUSG00000045515.4']
[637, 'ENSMUSG00000093436.6']
[638, 'ENSMUSG00000097063.3']
[639, 'ENSMUSG00000099784.1']
[640, 'ENSMUSG00000060679.14']
[641, 'ENSMUSG00000077448.1']
[642, 'ENSMUSG00000041907.9']
[643, 'ENSMUSG00000089088.1']
[644, 'ENSMUSG00000070939.9']
[645, 'ENSMUSG00000100269.1']
[646, 'ENSMUSG00000041878.3']
[647, 'ENSMUSG00000010290.7']
[648, 'ENSMUSG00000008136.14']
[649, 'ENSMUSG00000094497.1']
[650, 'ENSMUSG00000099576.1']
[651, 'ENSMUSG00000099694.1']
[652, 'ENSMUSG00000101923.1']
[653, 'ENSMUSG00000066877.11']
[654, 'ENSMUSG00000103422.1']
[655, 'ENSMUSG00000103945.1']
[656, 'ENSMUSG00000026051.8']
[657, 'ENSMUSG00000100764.1']
[658, 'ENSMUSG00000100635.1']
[659, 'ENSMUSG00000100480.1']
[660, 'ENSMUSG00000057363.12']
[661, 'ENSMUSG00000090243.1']
[662, 'ENSMUSG00000100701.1']
[663, 'ENSMUSG00000101395.1']
[664, 'ENSMUSG00000088848.1']
[665, 'ENSMUSG00000095757.1']
[666, 'ENSMUSG00000041763.14']
[667, 'ENSMUSG00000047343.4']
[668, 'ENSMUSG00000090106.1']
[669, 'ENSMUSG00000091844.2']
[670, 'ENSMUSG00000026049.11']
[671, 'ENSMUSG00000101104.6']
[672, 'ENSMUSG00000026047.13']
[673, 'ENSMUSG00000041684.11']
[674, 'ENSMUSG00000026048.16']
[675, 'ENSMUSG00000046828.3']
[676, 'ENSMUSG00000089703.1']
[677, 'ENSMUSG00000100966.1']
[678, 'ENSMUSG00000100769.1']
[679, 'ENSMUSG00000101567.1']
[680, 'ENSMUSG00000056870.9']
[681, 'ENSMUSG00000102319.1']
[682, 'ENSMUSG00000089877.1']
[683, 'ENSMUSG00000101701.1']
[684, 'ENSMUSG00000103071.1']
[685, 'ENSMUSG00000100434.1']
[686, 'ENSMUSG00000100013.1']
[687, 'ENSMUSG00000101251.1']
[688, 'ENSMUSG00000101937.1']
[689, 'ENSMUSG00000026043.18']
[690, 'ENSMUSG00000105211.1']
[691, 'ENSMUSG00000026042.16']
[692, 'ENSMUSG00000104476.1']
[693, 'ENSMUSG00000100218.1']
[694, 'ENSMUSG00000100361.1']
[695, 'ENSMUSG00000100894.1']
[696, 'ENSMUSG00000095121.1']
[697, 'ENSMUSG00000065255.1']
[698, 'ENSMUSG00000100843.1']
